Symbol,Company Name,Last Price,Change,% Change,Market Time,Volume,Avg Vol (3 month),Market Cap
,-,38510.85,-880.39,-0.0223,5:04 AM UTC,17.15B,28.59B,730.52B
,-,2703.1897,-104.62,-0.0373,5:04 AM UTC,11.10B,17.16B,323.70B
,-,1.000537,0,0.0001,5:04 AM UTC,45.29B,61.95B,79.58B
,-,365.09903,-14.55,-0.0383,5:04 AM UTC,1.28B,2.21B,60.28B
,-,0.99953073,0,-0.0004,5:04 AM UTC,3.04B,"1,795.09B",53.23B
,-,0.7333192,-0.04,-0.0543,5:04 AM UTC,2.68B,2.47B,35.16B
,-,0.86217624,-0.06,-0.0643,5:04 AM UTC,966.42M,1.76B,29.01B
,-,86.92911,-6.12,-0.0658,5:04 AM UTC,1.59B,2.32B,27.81B
,-,72.8434,-1.21,-0.0163,5:04 AM UTC,3.07B,2.39B,27.61B
,-,0.15141875,-0.01,-0.0337,5:04 AM UTC,16.52M,24.45M,26.26B
,-,77.32251,-3.53,-0.0437,5:04 AM UTC,1.35B,1.15B,19.02B
,-,1.0009148,0,0.0023,5:01 AM UTC,3.68B,8.26B,18.15B
,-,17.568476,-0.48,-0.0268,5:04 AM UTC,1.28B,1.37B,17.35B
,-,0.124588005,0,-0.0353,5:04 AM UTC,479.80M,1.11B,16.53B
,-,2.38032E-05,0,-0.0511,5:04 AM UTC,1.03B,1.56B,13.07B
,-,1.000857,0,-0.0012,5:03 AM UTC,456.44M,304.85M,12.72B
,-,1.4672172,-0.09,-0.06,5:04 AM UTC,894.48M,1.90B,11.06B
,-,0.40421784,-0.02,-0.0447,5:04 AM UTC,90.48M,233.08M,10.21B
,-,38541.457,-919.59,-0.0233,5:03 AM UTC,136.95M,251.27M,10.13B
,-,0.9995315,0,-0.0005,5:04 AM UTC,191.08M,517.60M,9.65B
,-,28.172956,-0.05,-0.0018,5:04 AM UTC,1.06B,1.11B,8.07B
,-,105.709915,-6.15,-0.055,5:04 AM UTC,714.40M,1.14B,7.37B
,-,14.037186,-0.53,-0.0366,5:04 AM UTC,654.95M,1.16B,6.56B
,-,8.806676,-0.52,-0.0555,5:04 AM UTC,173.22M,289.96M,6.05B
,-,0.059339274,0,-0.0251,5:04 AM UTC,943.45M,1.24B,6.04B
,-,308.62485,-11.95,-0.0373,5:04 AM UTC,4.15B,4.08B,5.86B
,-,42.332535,-1.23,-0.0282,5:04 AM UTC,89.42M,181.66M,5.83B
,-,6.0494885,0.12,0.0209,5:01 AM UTC,6.61M,5.39M,5.77B
,-,8.685667,-0.59,-0.0641,5:03 AM UTC,354.01M,707.12M,5.58B
,-,0.8122937,-0.03,-0.032,5:04 AM UTC,242.21M,374.39M,5.38B
